Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_132,VGND,li1,66.4700,70.7200,0.000020
FILLER_22_126,VGND,li1,64.8600,70.7200,0.000020
FILLER_22_119,VGND,li1,60.9500,70.7200,0.000020
FILLER_22_113,VGND,li1,57.9600,70.7200,0.000020
FILLER_22_110,VGND,li1,56.5800,70.7200,0.000020
FILLER_22_98,VGND,li1,53.3600,70.7200,0.000019
FILLER_22_93,VGND,li1,48.5300,70.7200,0.000018
FILLER_22_85,VGND,li1,46.4600,70.7200,0.000018
FILLER_22_77,VGND,li1,41.6300,70.7200,0.000016
FILLER_22_70,VGND,li1,38.4100,70.7200,0.000015
FILLER_22_65,VGND,li1,35.6500,70.7200,0.000013
FILLER_22_57,VGND,li1,33.5800,70.7200,0.000012
FILLER_22_54,VGND,li1,30.8200,70.7200,0.000010
FILLER_22_42,VGND,li1,27.6000,70.7200,0.000008
FILLER_22_35,VGND,li1,22.3100,70.7200,0.000007
FILLER_22_23,VGND,li1,16.3300,70.7200,0.000007
FILLER_22_15,VGND,li1,14.2600,70.7200,0.000007
FILLER_22_3,VGND,li1,9.6600,70.7200,0.000007
FILLER_21_131,VGND,li1,66.2400,70.7200,0.000020
FILLER_21_119,VGND,li1,63.0200,70.7200,0.000020
FILLER_21_113,VGND,li1,57.9600,70.7200,0.000020
FILLER_21_106,VGND,li1,55.6600,70.7200,0.000020
FILLER_21_98,VGND,li1,50.8300,70.7200,0.000019
FILLER_21_94,VGND,li1,49.6800,70.7200,0.000018
FILLER_21_82,VGND,li1,46.0000,70.7200,0.000017
FILLER_21_67,VGND,li1,37.2600,70.7200,0.000013
FILLER_21_57,VGND,li1,32.4300,70.7200,0.000010
FILLER_21_55,VGND,li1,31.0500,70.7200,0.000010
FILLER_21_47,VGND,li1,28.9800,70.7200,0.000008
FILLER_21_35,VGND,li1,22.5400,70.7200,0.000007
FILLER_21_20,VGND,li1,14.9500,70.7200,0.000007
FILLER_21_16,VGND,li1,13.8000,70.7200,0.000007
FILLER_21_3,VGND,li1,7.5900,70.7200,0.000007
FILLER_20_127,VGND,li1,65.3200,65.2800,0.000076
FILLER_20_101,VGND,li1,52.2100,65.2800,0.000070
FILLER_20_60,VGND,li1,33.5800,65.2800,0.000046
FILLER_20_3,VGND,li1,7.1300,65.2800,0.000039
FILLER_19_132,VGND,li1,66.4700,65.2800,0.000076
FILLER_19_95,VGND,li1,50.1400,65.2800,0.000068
FILLER_19_26,VGND,li1,17.9400,65.2800,0.000036
FILLER_19_3,VGND,li1,7.1300,65.2800,0.000039
FILLER_18_127,VGND,li1,65.3200,59.8400,0.000021
FILLER_18_97,VGND,li1,50.8300,59.8400,0.000020
FILLER_18_85,VGND,li1,47.3800,59.8400,0.000019
FILLER_18_83,VGND,li1,43.9300,59.8400,0.000018
FILLER_18_69,VGND,li1,37.9500,59.8400,0.000017
FILLER_18_29,VGND,li1,19.7800,59.8400,0.000013
FILLER_18_3,VGND,li1,7.1300,59.8400,0.000016
FILLER_17_130,VGND,li1,66.0100,59.8400,0.000021
FILLER_17_118,VGND,li1,62.5600,59.8400,0.000021
FILLER_17_96,VGND,li1,50.6000,59.8400,0.000020
FILLER_17_84,VGND,li1,46.9200,59.8400,0.000019
FILLER_17_72,VGND,li1,41.4000,59.8400,0.000018
FILLER_17_65,VGND,li1,36.1100,59.8400,0.000016
FILLER_17_57,VGND,li1,33.5800,59.8400,0.000015
FILLER_17_53,VGND,li1,30.5900,59.8400,0.000014
FILLER_17_45,VGND,li1,28.0600,59.8400,0.000013
FILLER_17_28,VGND,li1,18.8600,59.8400,0.000013
FILLER_17_3,VGND,li1,7.5900,59.8400,0.000016
FILLER_16_121,VGND,li1,63.0200,54.4000,0.000054
FILLER_16_111,VGND,li1,57.2700,54.4000,0.000052
FILLER_16_102,VGND,li1,52.9000,54.4000,0.000050
FILLER_16_94,VGND,li1,50.6000,54.4000,0.000049
FILLER_16_85,VGND,li1,45.0800,54.4000,0.000046
FILLER_16_74,VGND,li1,40.4800,54.4000,0.000044
FILLER_16_62,VGND,li1,36.8000,54.4000,0.000041
FILLER_16_50,VGND,li1,31.2800,54.4000,0.000038
FILLER_16_29,VGND,li1,19.0900,54.4000,0.000036
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000037
FILLER_15_131,VGND,li1,66.2400,54.4000,0.000054
FILLER_15_113,VGND,li1,57.9600,54.4000,0.000052
FILLER_15_98,VGND,li1,51.0600,54.4000,0.000049
FILLER_15_90,VGND,li1,48.7600,54.4000,0.000047
FILLER_15_78,VGND,li1,44.1600,54.4000,0.000045
FILLER_15_66,VGND,li1,38.6400,54.4000,0.000042
FILLER_15_38,VGND,li1,24.3800,54.4000,0.000033
FILLER_15_7,VGND,li1,9.4300,54.4000,0.000040
FILLER_14_130,VGND,li1,66.0100,48.9600,0.000120
FILLER_14_122,VGND,li1,63.4800,48.9600,0.000120
FILLER_14_93,VGND,li1,48.5300,48.9600,0.000105
FILLER_14_85,VGND,li1,46.4600,48.9600,0.000100
FILLER_14_63,VGND,li1,35.4200,48.9600,0.000073
FILLER_14_40,VGND,li1,25.3000,48.9600,0.000039
FILLER_14_33,VGND,li1,20.9300,48.9600,0.000040
FILLER_14_29,VGND,li1,19.7800,48.9600,0.000040
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000041
FILLER_14_23,VGND,li1,17.0200,48.9600,0.000041
FILLER_14_7,VGND,li1,9.2000,48.9600,0.000043
FILLER_13_128,VGND,li1,64.6300,48.9600,0.000120
FILLER_13_119,VGND,li1,60.4900,48.9600,0.000119
FILLER_13_113,VGND,li1,58.8800,48.9600,0.000119
FILLER_13_111,VGND,li1,56.8100,48.9600,0.000119
FILLER_13_103,VGND,li1,54.7400,48.9600,0.000119
FILLER_13_92,VGND,li1,48.3000,48.9600,0.000105
FILLER_13_44,VGND,li1,28.5200,48.9600,0.000050
FILLER_13_32,VGND,li1,23.0000,48.9600,0.000039
FILLER_13_20,VGND,li1,17.4800,48.9600,0.000041
FILLER_13_3,VGND,li1,7.1300,48.9600,0.000043
FILLER_12_131,VGND,li1,66.2400,43.5200,0.000109
FILLER_12_109,VGND,li1,56.3500,43.5200,0.000107
FILLER_12_63,VGND,li1,34.7300,43.5200,0.000081
FILLER_12_55,VGND,li1,32.6600,43.5200,0.000069
FILLER_12_35,VGND,li1,24.3800,43.5200,0.000043
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000047
FILLER_12_23,VGND,li1,17.0200,43.5200,0.000047
FILLER_12_7,VGND,li1,9.2000,43.5200,0.000049
FILLER_11_113,VGND,li1,57.7300,43.5200,0.000108
FILLER_11_81,VGND,li1,43.2400,43.5200,0.000095
FILLER_11_57,VGND,li1,32.6600,43.5200,0.000069
FILLER_11_52,VGND,li1,30.3600,43.5200,0.000059
FILLER_11_20,VGND,li1,15.6400,43.5200,0.000047
FILLER_11_3,VGND,li1,7.1300,43.5200,0.000049
FILLER_10_131,VGND,li1,66.2400,38.0800,0.000034
FILLER_10_114,VGND,li1,58.1900,38.0800,0.000032
FILLER_10_98,VGND,li1,50.8300,38.0800,0.000029
FILLER_10_94,VGND,li1,49.6800,38.0800,0.000029
FILLER_10_85,VGND,li1,44.8500,38.0800,0.000025
FILLER_10_82,VGND,li1,43.7000,38.0800,0.000025
FILLER_10_75,VGND,li1,40.2500,38.0800,0.000022
FILLER_10_71,VGND,li1,39.1000,38.0800,0.000022
FILLER_10_59,VGND,li1,35.4200,38.0800,0.000020
FILLER_10_45,VGND,li1,26.6800,38.0800,0.000014
FILLER_10_27,VGND,li1,18.1700,38.0800,0.000017
FILLER_10_23,VGND,li1,17.0200,38.0800,0.000017
FILLER_10_11,VGND,li1,13.3400,38.0800,0.000017
FILLER_9_132,VGND,li1,66.4700,38.0800,0.000034
FILLER_9_103,VGND,li1,53.3600,38.0800,0.000030
FILLER_9_71,VGND,li1,38.6400,38.0800,0.000022
FILLER_9_63,VGND,li1,36.3400,38.0800,0.000020
FILLER_9_57,VGND,li1,32.2000,38.0800,0.000017
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000016
FILLER_9_36,VGND,li1,22.5400,38.0800,0.000014
FILLER_9_18,VGND,li1,14.0300,38.0800,0.000017
FILLER_9_6,VGND,li1,11.0400,38.0800,0.000017
FILLER_8_99,VGND,li1,51.2900,32.6400,0.000063
FILLER_8_93,VGND,li1,49.6800,32.6400,0.000063
FILLER_8_82,VGND,li1,43.7000,32.6400,0.000058
FILLER_8_25,VGND,li1,17.7100,32.6400,0.000043
FILLER_8_17,VGND,li1,15.1800,32.6400,0.000044
