Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_132,VPWR,li1,66.4700,73.4400,1.799982
FILLER_22_126,VPWR,li1,64.8600,73.4400,1.799982
FILLER_22_119,VPWR,li1,60.9500,73.4400,1.799982
FILLER_22_113,VPWR,li1,57.9600,73.4400,1.799982
FILLER_22_110,VPWR,li1,56.5800,73.4400,1.799982
FILLER_22_98,VPWR,li1,53.3600,73.4400,1.799983
FILLER_22_93,VPWR,li1,48.5300,73.4400,1.799984
FILLER_22_85,VPWR,li1,46.4600,73.4400,1.799984
FILLER_22_77,VPWR,li1,41.6300,73.4400,1.799985
FILLER_22_70,VPWR,li1,38.4100,73.4400,1.799986
FILLER_22_65,VPWR,li1,35.6500,73.4400,1.799988
FILLER_22_57,VPWR,li1,33.5800,73.4400,1.799989
FILLER_22_54,VPWR,li1,30.8200,73.4400,1.799990
FILLER_22_42,VPWR,li1,27.6000,73.4400,1.799992
FILLER_22_35,VPWR,li1,22.3100,73.4400,1.799995
FILLER_22_23,VPWR,li1,16.3300,73.4400,1.799995
FILLER_22_15,VPWR,li1,14.2600,73.4400,1.799995
FILLER_22_3,VPWR,li1,9.6600,73.4400,1.799995
FILLER_21_131,VPWR,li1,66.2400,68.0000,1.799944
FILLER_21_119,VPWR,li1,63.0200,68.0000,1.799944
FILLER_21_113,VPWR,li1,57.9600,68.0000,1.799944
FILLER_21_106,VPWR,li1,55.6600,68.0000,1.799945
FILLER_21_98,VPWR,li1,50.8300,68.0000,1.799948
FILLER_21_94,VPWR,li1,49.6800,68.0000,1.799949
FILLER_21_82,VPWR,li1,46.0000,68.0000,1.799953
FILLER_21_67,VPWR,li1,37.2600,68.0000,1.799963
FILLER_21_57,VPWR,li1,32.4300,68.0000,1.799969
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.799969
FILLER_21_47,VPWR,li1,28.9800,68.0000,1.799972
FILLER_21_35,VPWR,li1,22.5400,68.0000,1.799982
FILLER_21_20,VPWR,li1,14.9500,68.0000,1.799980
FILLER_21_16,VPWR,li1,13.8000,68.0000,1.799980
FILLER_21_3,VPWR,li1,7.5900,68.0000,1.799980
FILLER_20_127,VPWR,li1,65.3200,68.0000,1.799944
FILLER_20_101,VPWR,li1,52.2100,68.0000,1.799948
FILLER_20_60,VPWR,li1,33.5800,68.0000,1.799965
FILLER_20_3,VPWR,li1,7.1300,68.0000,1.799980
FILLER_19_132,VPWR,li1,66.4700,62.5600,1.799960
FILLER_19_95,VPWR,li1,50.1400,62.5600,1.799964
FILLER_19_26,VPWR,li1,17.9400,62.5600,1.799984
FILLER_19_3,VPWR,li1,7.1300,62.5600,1.799982
FILLER_18_127,VPWR,li1,65.3200,62.5600,1.799960
FILLER_18_97,VPWR,li1,50.8300,62.5600,1.799964
FILLER_18_85,VPWR,li1,47.3800,62.5600,1.799965
FILLER_18_83,VPWR,li1,43.9300,62.5600,1.799968
